sim_time, big_dog?world_angular_velocity/y
207.973, 0.394128
207.974, 0.399084
207.975, 0.40399
207.976, 0.408847
207.977, 0.413658
207.978, 0.418423
207.979, 0.423144
207.98, 0.427823
207.981, 0.432461
207.982, 0.437059
207.983, 0.441617
207.984, 0.446138
207.985, 0.450308
207.986, 0.443487
207.987, 0.437427
207.988, 0.431779
207.989, 0.426259
207.99, 0.420884
207.991, 0.415633
207.992, 0.410452
207.993, 0.405371
207.994, 0.400386
207.995, 0.395493
207.996, 0.39069
207.997, 0.385973
207.998, 0.38134
207.999, 0.376786
208, 0.372311
208.001, 0.367909
208.002, 0.36358
208.003, 0.359321
208.004, 0.355129
208.005, 0.351002
208.006, 0.347044
208.007, 0.343493
208.008, 0.339915
208.009, 0.336324
208.01, 0.333956
208.011, 0.331489
208.012, 0.328947
208.013, 0.326347
208.014, 0.323705
208.015, 0.328102
208.016, 0.313071
208.017, 0.29912
208.018, 0.285629
208.019, 0.272514
208.02, 0.25963
208.021, 0.246954
208.022, 0.234448
208.023, 0.22211
208.024, 0.209941
208.025, 0.19793
208.026, 0.186072
208.027, 0.173617
208.028, 0.162422
208.029, 0.151314
208.03, 0.139386
208.031, 0.129128
208.032, 0.11902
208.033, 0.109046
208.034, 0.0991919
208.035, 0.0894506
208.036, 0.0798156
208.037, 0.0702821
208.038, 0.0608464
208.039, 0.0502478
208.04, 0.0413999
208.041, 0.0326073
208.042, 0.0238703
208.043, 0.0153141
208.044, 0.0063822
208.045, -0.00197789
208.046, -0.0103026
208.047, -0.0185863
208.048, -0.0274876
208.049, -0.0354734
208.05, -0.0434219
208.051, -0.051589
208.052, -0.059374
208.053, -0.0671178
208.054, -0.0748177
208.055, -0.0824708
208.056, -0.089875
208.057, -0.0969755
208.058, -0.103862
208.059, -0.111635
208.06, -0.119242
208.061, -0.126695
208.062, -0.134009
208.063, -0.134586
208.064, -0.135853
208.065, -0.137372
208.066, -0.138958
208.067, -0.140548
208.068, -0.142238
208.069, -0.143753
208.07, -0.145242
208.071, -0.146705
208.072, -0.148142
208.073, -0.149554
208.074, -0.150941
208.075, -0.152305
208.076, -0.153646
208.077, -0.154966
208.078, -0.156265
208.079, -0.157546
208.08, -0.158809
208.081, -0.160055
208.082, -0.161285
208.083, -0.1625
208.084, -0.163701
208.085, -0.162287
208.086, -0.165674
208.087, -0.168796
208.088, -0.171673
208.089, -0.174331
208.09, -0.176792
208.091, -0.178894
208.092, -0.180875
208.093, -0.182745
208.094, -0.184692
208.095, -0.186318
208.096, -0.187863
208.097, -0.189493
208.098, -0.190859
208.099, -0.192169
208.1, -0.193429
208.101, -0.194645
208.102, -0.195821
208.103, -0.196963
208.104, -0.198073
208.105, -0.199157
208.106, -0.196332
208.107, -0.186643
208.108, -0.177771
208.109, -0.169265
208.11, -0.160946
208.111, -0.152743
208.112, -0.144677
208.113, -0.136735
208.114, -0.12748
208.115, -0.119769
208.116, -0.112216
208.117, -0.105918
208.118, -0.0982311
208.119, -0.0906745
208.12, -0.0832476
208.121, -0.0759493
208.122, -0.0687509
208.123, -0.0618171
208.124, -0.0549866
208.125, -0.0482581
208.126, -0.0416298
208.127, -0.0350994
208.128, -0.0286645
208.129, -0.0223225
208.13, -0.0160707
208.131, -0.00990624
208.132, -0.0038266
208.133, 0.00217088
208.134, 0.00808873
208.135, 0.0138311
208.136, 0.0192389
208.137, 0.0246352
208.138, 0.0300122
208.139, 0.0353635
208.14, 0.040984
208.141, 0.0461057
208.142, 0.0503372
208.143, 0.0546685
208.144, 0.0590805
208.145, 0.0635566
208.146, 0.0680817
208.147, 0.0726426
208.148, 0.0772283
208.149, 0.0818291
208.15, 0.0864372
208.151, 0.0910459
208.152, 0.0956493
208.153, 0.105533
208.154, 0.106143
208.155, 0.107019
208.156, 0.108052
208.157, 0.103274
208.158, 0.0988087
208.159, 0.094952
208.16, 0.0915854
208.161, 0.0886531
208.162, 0.0860965
208.163, 0.0838647
208.164, 0.0811262
208.165, 0.0787493
208.166, 0.077315
208.167, 0.0737894
208.168, 0.0706726
208.169, 0.0679168
208.17, 0.0651976
208.171, 0.0627994
208.172, 0.0606836
208.173, 0.0588164
208.174, 0.0569807
208.175, 0.0549905
208.176, 0.0532454
