sim_time, big_dog?world_pose/orientation/roll
209.411, 0.0393467
209.412, 0.0395099
209.413, 0.0396729
209.414, 0.0398353
209.415, 0.0399971
209.416, 0.0401588
209.417, 0.0403204
209.418, 0.0404815
209.419, 0.0406422
209.42, 0.0408023
209.421, 0.0409617
209.422, 0.0411205
209.423, 0.0412787
209.424, 0.0414361
209.425, 0.0415928
209.426, 0.0417489
209.427, 0.0419045
209.428, 0.0420595
209.429, 0.042214
209.43, 0.0423678
209.431, 0.0425288
209.432, 0.0426972
209.433, 0.0428627
209.434, 0.0430261
209.435, 0.043188
209.436, 0.0433487
209.437, 0.0435082
209.438, 0.0436568
209.439, 0.043796
209.44, 0.0439275
209.441, 0.0440523
209.442, 0.0441714
209.443, 0.0442858
209.444, 0.0443996
209.445, 0.0445081
209.446, 0.0446084
209.447, 0.0446983
209.448, 0.0447778
209.449, 0.0448469
209.45, 0.0449059
209.451, 0.0449548
209.452, 0.0449937
209.453, 0.0450225
209.454, 0.0450412
209.455, 0.0450499
209.456, 0.0450488
209.457, 0.0450379
209.458, 0.0450175
209.459, 0.0449875
209.46, 0.044948
209.461, 0.0448989
209.462, 0.0448404
209.463, 0.0447719
209.464, 0.0446935
209.465, 0.0446053
209.466, 0.0445073
209.467, 0.0443997
209.468, 0.0442824
209.469, 0.0441555
209.47, 0.0440191
209.471, 0.0438735
209.472, 0.0437178
209.473, 0.0435513
209.474, 0.0433742
209.475, 0.0431867
209.476, 0.0429889
209.477, 0.0427809
209.478, 0.0425627
209.479, 0.0423345
209.48, 0.0420964
209.481, 0.0418475
209.482, 0.0415882
209.483, 0.0413202
209.484, 0.0410451
209.485, 0.0407624
209.486, 0.0404723
209.487, 0.0401744
209.488, 0.0398683
209.489, 0.0395536
209.49, 0.0392302
209.491, 0.0388976
209.492, 0.0385557
209.493, 0.0382043
209.494, 0.0378433
209.495, 0.0374725
209.496, 0.0370918
209.497, 0.0367012
209.498, 0.0363005
209.499, 0.0358897
209.5, 0.0354683
209.501, 0.0350364
209.502, 0.0345941
209.503, 0.0341414
209.504, 0.0336781
209.505, 0.0332044
209.506, 0.0327202
209.507, 0.0322254
209.508, 0.0317198
209.509, 0.0312073
209.51, 0.0306877
209.511, 0.0301548
209.512, 0.0296169
209.513, 0.0290762
209.514, 0.0285335
209.515, 0.0279892
209.516, 0.0274429
209.517, 0.0268946
209.518, 0.0263589
209.519, 0.0258337
209.52, 0.0253182
209.521, 0.0248127
209.522, 0.0243171
209.523, 0.0238308
209.524, 0.023354
209.525, 0.0228865
209.526, 0.0224282
209.527, 0.0219789
209.528, 0.0215387
209.529, 0.0211074
209.53, 0.0206849
209.531, 0.0202709
209.532, 0.0198659
209.533, 0.0194696
209.534, 0.0190802
209.535, 0.0186975
209.536, 0.0183215
209.537, 0.0179524
209.538, 0.0175899
209.539, 0.0172342
209.54, 0.0168859
209.541, 0.0165448
209.542, 0.0162109
209.543, 0.0158845
209.544, 0.015565
209.545, 0.0152527
209.546, 0.0149477
209.547, 0.0146502
209.548, 0.0143602
209.549, 0.0140775
209.55, 0.0138046
209.551, 0.0135416
209.552, 0.0132885
209.553, 0.0130444
209.554, 0.012809
209.555, 0.0125826
209.556, 0.0123648
209.557, 0.0121561
209.558, 0.0119567
209.559, 0.0117665
209.56, 0.0115853
209.561, 0.0114133
209.562, 0.0112503
209.563, 0.0110962
209.564, 0.010951
209.565, 0.0108144
209.566, 0.0106865
209.567, 0.0105671
209.568, 0.0104562
209.569, 0.0103531
209.57, 0.0102579
209.571, 0.0101704
209.572, 0.0100907
209.573, 0.0100201
209.574, 0.00995841
209.575, 0.00990548
209.576, 0.00986145
209.577, 0.00982616
209.578, 0.00979625
209.579, 0.00977256
209.58, 0.0097551
209.581, 0.00974385
209.582, 0.00973875
209.583, 0.00973977
209.584, 0.00974688
209.585, 0.00976003
209.586, 0.0097792
209.587, 0.00980434
209.588, 0.00983543
209.589, 0.00987244
209.59, 0.00991532
209.591, 0.00996374
209.592, 0.0100184
209.593, 0.0100793
209.594, 0.0101471
209.595, 0.0102217
209.596, 0.0103031
209.597, 0.0103911
209.598, 0.0104861
209.599, 0.0105878
209.6, 0.0106963
209.601, 0.0108115
209.602, 0.010933
209.603, 0.0110602
209.604, 0.0111929
209.605, 0.0113312
209.606, 0.0114749
209.607, 0.0116241
209.608, 0.0117788
209.609, 0.0119355
209.61, 0.0120945
209.611, 0.0122562
209.612, 0.0124205
209.613, 0.0125873
209.614, 0.0127566
209.615, 0.0129284
209.616, 0.0131027
209.617, 0.0132794
209.618, 0.0134586
209.619, 0.0136402
209.62, 0.0138243
209.621, 0.0140107
209.622, 0.0141996
209.623, 0.0143908
209.624, 0.0145839
209.625, 0.0147801
209.626, 0.0149794
209.627, 0.0151819
209.628, 0.0153873
209.629, 0.0155944
209.63, 0.0158031
209.631, 0.0160136
209.632, 0.0162259
209.633, 0.0164399
209.634, 0.0166558
209.635, 0.0168736
209.636, 0.0170933
209.637, 0.0173148
209.638, 0.0175383
209.639, 0.0177638
209.64, 0.0179911
209.641, 0.0182204
209.642, 0.0184517
209.643, 0.0186848
209.644, 0.01892
209.645, 0.0191571
209.646, 0.0193961
209.647, 0.0196369
209.648, 0.0198739
209.649, 0.0201078
209.65, 0.0203376
209.651, 0.0205637
209.652, 0.0207861
209.653, 0.021005
209.654, 0.0212201
209.655, 0.0214315
209.656, 0.0216393
209.657, 0.0218436
209.658, 0.0220443
209.659, 0.0222417
209.66, 0.0224356
209.661, 0.0226258
209.662, 0.0228126
209.663, 0.0229956
209.664, 0.0231749
209.665, 0.0233504
209.666, 0.0235226
209.667, 0.0236909
209.668, 0.0238554
209.669, 0.0240161
209.67, 0.0241732
209.671, 0.0243267
209.672, 0.0244767
209.673, 0.0246213
209.674, 0.024762
209.675, 0.0249004
209.676, 0.0250355
209.677, 0.0251681
209.678, 0.0252988
209.679, 0.0254263
209.68, 0.0255514
209.681, 0.0256741
209.682, 0.025794
209.683, 0.0259116
209.684, 0.0260273
209.685, 0.026141
209.686, 0.0262529
209.687, 0.026363
209.688, 0.0264716
209.689, 0.0265786
209.69, 0.026685
209.691, 0.0267892
209.692, 0.0268931
209.693, 0.0269945
209.694, 0.027093
209.695, 0.0271885
209.696, 0.0272807
209.697, 0.0273698
209.698, 0.0274556
209.699, 0.0275381
209.7, 0.0276173
209.701, 0.0276933
209.702, 0.027758
209.703, 0.0278119
209.704, 0.0278553
209.705, 0.0278874
209.706, 0.0279104
209.707, 0.0279232
209.708, 0.0279263
209.709, 0.0279189
209.71, 0.0279009
